Name of Data Collection Site,Approximate Address and Location,Number of Data Collection Participants,Start Time (Please include AM/PM),End Time (Please include AM/PM),Type of Location,Approximate Size (in square feet of area cleanup during Sweep project),Beverage Bottles (Plastic),Beverage Bottles (Glass),Beverage Cans (Metal),Single-Use Plastic Bags,Other Platic Bags,Paper Bags,Cups & Plates (Paper),Cups & Plates (Plastic),Cups & Plates (Foam),Cigarette Butts & Food Wrappers,"Food Wrappers (candy, chips, etc.)",Take Out/Away Containers (Plastic),Take Out/Away Containers (Foam),Bottle Caps (Plastic),Bottle Caps (Metal),Lids (Plastic),Straws/Stirrers,"Forks, Knives, Spoons (Plastic)","Fishing Buoys, Pots, & Traps",Fishing Net & Pieces: Rope (1 yard/meter = 1 piece):,Fishing Line (1 yard/meter = 1 piece):,Worm containers,6-Pack Holders,Other Plastic/Foam Packaging,"Other Plastic Bottles (oil, bleach, etc)",Strapping Bands,Tobacco Packaging/Wrap,Condoms,Diapers,Syringes,Tampons/Tampon Applicators,"Appliances (refrigerators, washers, etc.)","Other Large Items (bikes, TVs, furniture) Please Specify anything noteworthy.",Items of Clothing,Balloons,Cigar Tips,Cigarette Lighters,Construction Materials,Fireworks,Tires,Broken Glass (Bigger than 2.5cm),Foam Pieces,Glass Pieces,Plastic Pieces,Total Number of Tiny Trash Items,Did you find anything else?,What types of trash did you encounter most frequently? (Please name top 3-5),Number of Trash Bags Filled,Estimated weight of trash Collected (in pounds),Estimated area cleaned (square feet or miles of shoreline)
"Montgomery: Wallkill River Cleanup from
Riverfront Park and Rt.416 Cleanup","Riverfront Park
Riverfront Park & Rt. 416
Riverfront Park. Bailey Rd. off Rt. 208 and Rt. 416 at Rt 84 overpass
Montgomery, New York 12549",11,10:00 AM,12:00 PM,soft shoreline,,134,38,22,14,15,15,5,10,15,150,,53,17,20,17,34,8,0,3,5,0,0,0,25,13,6,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,15,30,57,,,,,
Esopus: Lighthouse Park and Esopus Meadows Cleanup ,"255 River Road, Ulster Park, NY",27,11:30 AM,2:00 PM,Rocky Shoreline,"396,000ft",58,79,23,22,34,3,14,15,0,64,combined,5,4,20,7,9,6,2,6,12,8,0,0,25,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,46,455,23,,,,39,915,1.5
Matthiessen & Scenic Hudson Parks,"1 Bridge St, Irvington, NY 10533",,,,,,86,7,6,94,,6,4,17,10,11,0,2,0,18,2,14,13,6,2,15,4,0,1,166,2,11,1,0,1,0,3,2,0,12,0,4,1,20,0,0,0,48,16,47,0,,,,,
Kingston Point Beach,"Kingston Point Park Kingston, NY 12401",24,,,,,40,3,15,3,,0,0,3,1,thousands,5,4,0,35,25,0,25,0,0,0,1,0,0,1,0,0,0,0,0,0,15,0,0,0,0,7,0,0,0,2,0,3,6,30,thousands,bike frame,cigarette butts,5 large/1 small,215 lbs,3 acres
Waryas Park,,4,9:00 AM,12:00 PM,Indland Park & Shoreline:Riprap- composed of cobble to boulder-sized rocks and are placed for shoreline protection and inlet stablization ,"1,634 ft",42,23,8,29,22,5,10,14,8,203,0,5,8,69,29,14,55,18,6,7,5,1,1,21,3,5,3,1,0,3,3,0,0,1,11,10,5,3,0,0,0,65,25,58,0,plasticeggshells,0,9,270 lbs,1.5 miles
Irvington: Scenic Hudson Park Cleanup,,,,,,,112,2,4,54,51,0,8,8,10,34,0,0,2,9,0,3,10,0,3,37,3,0,0,28,3,2,1,0,0,1,1,0,0,0,2,2,5,17,0,0,0,67,1,21,,"aersol cans, soccer ball, pens",,,,
Kaal Rock Park,"Hendryk Drive, Poughkeepsie",12,9:30 AM,12:00 PM,rocky shoreline,"792,000",125,49,33,30,44,4,8,18,26,1092,0,10,8,8,25,9,26,3,2,0,5,0,0,35,4,2,51,1,0,0,0,0,0,0,0,1,0,8,0,0,0,1,35,9,62,,,20,630,0.75
John V. Lindsay Easy River Park,East River at 6th St.,18,12:30 PM,2:30 PM,Shoreline: Riprap- has cobble to boulder-sized rocks and are palced for shoreline protection and inlet stabilization,200 Meters,45,40,25,60,0,0,10,0,0,15,0,15,0,0,0,10,50,25,0,1,100,0,0,20,0,0,0,2,0,2,7,0,0,1,12,0,4,0,0,0,0,40,30,30,100,"Dead animals (1 bird, 3 fish, 1 mystery dead animal) Food (3 coconut, 1 apple) Clothes: 1 woman's shoe",,25,645,0.4
Flushing Bay,"Worlds Fair Marina, Flushing Bar, New York",125,10:00 AM,2:00 PM,Shoreline with Rocky Shore Riprap and Tidal Flats,Not Measured,314,185,58,297,0,47,35,24,170,236,0,61,89,287,11,150,183,43,5,28,,,2,131,11,17,17,8,13,10,46,,,20,3,8,12,11,,,,746,113,467,,"baby shoe, barbie dolls, rubber and rubber horses, lancet, pens, canvas bag, car floor mat, cell phones cases, tennis balls, drug containers, boat seats, large pirces of plastic sheeting",,59,885,.75-1 miles
Greenpoint/Bushwick: Bushwick Inlet Park Cleanup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
